DATE ,PARTY NAME ,PARTICULAR ,COLOR ,IN-WORD,WASHING,OUT-WORD,EXTRA,RATE , AMOUNT ,DESIGN,G.P,2/,2=,2,2/=,111=,VIRUS ,QTY,,
3-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,144,144,150,21600,UJALA (WHITE),5699,144,,,,,,,,
3-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,156,156,150,23400,UJALA (WHITE),5699,156,,,,,,,,
3-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,270,270,150,40500,UJALA (WHITE),5699,,,270,,,,,,
3-Jul-2019,MILAP BANGLE,SENT,GOLDEN,,,150,150,150,22500,UJALA (WHITE),5700,150,,,,,,,,
3-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,400,400,150,60000,UJALA (WHITE),5701,,400,,,,,,,
3-Jul-2019,MILAP BANGLE,SENT,GOLDEN,,,250,250,150,37500,UJALA (WHITE),5702,150,,100,,,,,,
3-Jul-2019,CANCEL,SENT,GOLDEN,,,,,,0,CANCEL,5703,,,,,,,,,
4-Jul-2019,REHAN FARHAN,RECEVIED,GOLDEN,500,,,,,0,GOLA (WHITE),,100,200,200,,,,,,
4-Jul-2019,MILAP BANGLE,RECEVIED,GOLDEN,600,,,,,0,UJALA (WHITE),,300,200,100,,,,,,
4-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,300,,,,150,0,UJALA (WHITE),,,150,150,,,,,,
4-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,150,,,,150,0,SADA BHAR (WHITE),,,100,50,,,,,,
4-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,100,,,,,0,NAGIN (WHITE),,50,,50,,,,,,
4-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,302,,,,150,0,JANOON (WHITE),,,,,302,,,,,
4-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,100,,,,150,0,SADA BHAR (WHITE),,100,,,,,,,,
4-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,40,,,,150,0,TAJ MEHAL (WHITE),,,,40,,,,,,
4-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,100,,,,0,NAGIN (WHITE),,50,,50,,,,,,
4-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,200,,,,0,BARFI (WHITE),,,,,200,,,,,
4-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,40,,,150,0,TAJ MEHAL (WHITE),,,,40,,,,,,
4-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,200,,,,0,NAGIN (WHITE),,,,,,200,,,,
4-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,300,300,150,45000,NAGIN (WHITE),5704,150,100,50,,,,,,
4-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,300,300,150,45000,TAJ MEHAL (WHITE),5704,300,,,,,,,,
4-Jul-2019,MILAP BANGLE,SENT,GOLDEN,,,200,200,150,30000,UJALA (WHITE),5705,,200,,,,,,,
4-Jul-2019,MILAP BANGLE,SENT,GOLDEN,,,300,300,150,45000,NAGIN (WHITE),5705,150,100,50,,,,,,
4-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,425,425,150,63750,JANOON (WHITE),5706,200,150,75,,,,,,
4-Jul-2019,CANCEL,SENT,GOLDEN,,,,,,0,CANCEL,5707,,,,,,,,,
4-Jul-2019,CANCEL,SENT,GOLDEN,,,,,,0,CANCEL,5707,,,,,,,,,
6-Jul-2019,KASHIF BHAI TAHIR,RECEVIED,GOLDEN,485,,,,150,0,UJALA (WHITE),,485,,,,,,,,
6-Jul-2019,MAKKAH BANGLE,RECEVIED,GOLDEN,133,,,,150,0,TAJ MEHAL (WHITE),,133,,,,,,,,
6-Jul-2019,MAKKAH BANGLE,RECEVIED,GOLDEN,100,,,,150,0,SADA BHAR (WHITE),,,100,,,,,,,
6-Jul-2019,MILAP BANGLE,RECEVIED,GOLDEN,300,,,,,0,TAJ MEHAL (WHITE),,150,100,50,,,,,,
6-Jul-2019,MILAP BANGLE,RECEVIED,GOLDEN,300,,,,,0,SADA BHAR (WHITE),,150,100,50,,,,,,
6-Jul-2019,MILAP BANGLE,WASHING,GOLDEN,,50,,,150,0,GOLA (GOLDEN),,,,,,50,,,,
6-Jul-2019,REHAN FARHAN,WASHING,GOLDEN,,100,,,,0,GOLA (WHITE),,,,,,100,,,,
6-Jul-2019,MILAP BANGLE,WASHING,GOLDEN,,100,,,150,0,SUAGUN (WHITE),,,,,100,,,,,
6-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,200,200,150,30000,SAPNA (WHITE),5708,,,,200,,,,,
6-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,286,286,150,42900,NAGIN (WHITE),5708,144,95,47,,,,,,
6-Jul-2019,AL SHADAB BANGLE,SENT,GOLDEN,,,280,280,150,42000,JANOON (WHITE),5709,,,,280,,,,,
7-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,300,,,,150,0,BALDAR K (WHITE),,150,100,50,,,,,,
7-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,200,,,,,0,NAGIN (WHITE),,,,,200,,,,,
7-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,80,,,,150,0,JANOON (WHITE),,,,,80,,,,,
7-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,300,,,,150,0,JANOON (WHITE),,150,100,50,,,,,,
7-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,61,,,,150,0,MURAI KATTE,,,,,,,,MIX,,
7-Jul-2019,MILAP BANGLE,RECEVIED,GOLDEN,120,,,,,0,KAJAL (WHITE),,60,40,20,,,,,,
7-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,394,,,150,0,UJALA (WHITE),,94,200,100,,,,,,
7-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,200,,,150,0,JANOON (WHITE),,,,,200,,,,,
7-Jul-2019,MILAP BANGLE,WASHING,GOLDEN,,100,,,150,0,SUAGUN (WHITE),,,,,100,,,,,
7-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,200,,,150,0,JANOON (WHITE),,,,,200,,,,,
7-Jul-2019,MILAP BANGLE,WASHING,GOLDEN,,300,,,150,0,SADA BHAR (WHITE),,150,100,50,,,,,,
7-Jul-2019,MILAP BANGLE,WASHING,GOLDEN,,300,,,150,0,TAJ MEHAL (WHITE),,150,100,50,,,,,,
7-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,300,,,150,0,JANOON (WHITE),,150,100,50,,,,,,
7-Jul-2019,MILAP BANGLE,WASHING,GOLDEN,,600,,,150,0,UJALA (WHITE),,300,200,100,,,,,,
